inds.id life.sg.status ages mf FP MP year year_samp
Z_55 A 6 1 T_1074 W_298 2004 2009
Z_375 A 6 1 T_446 V_938 2004 2009
Z_386 A 6 0 W_921 V_1051 2004 2009
Z_395 A 6 1 T_26 U_87 2004 2009
Z_516 A 6 1 P_1230 T_337 2004 2009
Z_588 A 6 0 U_52 T_1039 2004 2009
Z_626 A 6 0 V_274 S_383 2004 2009
Z_738 A 6 0 V_492 Q_678 2004 2009
Y_48 A 7 1 U_420 V_224 2003 2009
Y_126 A 7 1 U_175 V_585 2003 2009
Y_337 A 7 1 I_1625 U_989 2003 2009
Y_621 A 7 0 N_285 R_297 2003 2009
Y_893 A 7 0 V_87 I_1277 2003 2009
X_168 A 8 0 O_271 U_942 2002 2009
X_758 A 8 1 P_906 P_1206 2002 2009
W_6 A 9 1 R_231 T_31 2001 2009
W_26 A 9 1 P_759 T_131 2001 2009
W_182 A 9 1 R_361 T_828 2001 2009
W_242 A 9 1 R_386 T_1098 2001 2009
W_334 A 9 0 R_657 S_412 2001 2009
W_501 A 9 1 M_1445 R_365 2001 2009
W_748 A 9 0 F_1725 P_1054 2001 2009
W_961 A 9 1 T_180 K_1178 2001 2009
V_576 A 10 0 Q_1246 Q_1225 2000 2009
V_638 A 10 1 S_24 P_650 2000 2009
U_715 A 11 1 R_1215 N_457 1999 2009
U_749 A 11 1 R_127 N_858 1999 2009
U_836 A 11 1 Q_1327 M_1257 1999 2009
T_924 A 12 1 K_1266 L_1512 1998 2009
T_1050 A 12 0 K_817 I_694 1998 2009
T_1145 A 12 0 K_842 E_611 1998 2009
Q_305 A 15 0 N_1420 D_2076 1995 2009
Q_337 A 15 1 M_168 F_682 1995 2009
P_1347 A 16 0 A6786 G_165 1994 2009
O_429 A 17 0 K_805 L_20 1993 2009
M_462 A 19 1 G_408 I_716 1991 2009
M_468 A 19 0 G_1696 I_748 1991 2009
M_872 A 19 0 F_1621 G_323 1991 2009
FF_39 J 1 0 T_78 CC_154 2010 2010
FF_48 J 1 1 Z_588 CC_223 2010 2010
FF_61 J 1 0 X_931 CC_328 2010 2010
FF_62 J 1 0 BB_386 CC_329 2010 2010
FF_72 J 1 0 CC_402 CC_403 2010 2010
FF_110 J 1 1 V_199 CC_599 2010 2010
